Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-04-27,18:04:39.150,6,0,100,0,0,19,100,8,100,14,100,20,100,20,0.01,0.04,-1.66,44.333248 -71.566988,0.1,264.74,371,11,0.1,16.8,0.5,9,99,"FBWA*",-1,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:40.070,5,0,100,0,0,19,100,7,100,14,100,20,100,20,0.01,0.05,-1.64,44.333247 -71.566989,0.1,265.85,370,11,0.1,16.8,0.5,9,99,"FBWA",-2,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:41.070,9,0,100,0,0,19,100,11,100,13,100,20,100,20,0.02,0.06,-1.58,44.333247 -71.566993,0.2,270.08,370,11,0.0,16.8,0.5,10,99,"AUTO",-4,1,-1024,7,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:42.070,16,0,100,0,0,19,100,19,100,15,100,20,100,20,0.01,0.05,-1.42,44.333247 -71.566994,0.5,276.66,370,11,0.3,16.8,0.5,10,99,"AUTO",-2,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:43.070,19,0,100,0,0,19,100,21,100,13,100,20,100,20,0.10,0.13,2.84,44.333209 -71.566980,8.8,157.70,371,11,-0.4,16.5,19.6,11,99,"AUTO",-2,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:44.070,27,0,100,0,0,19,100,29,100,14,100,20,100,20,0.37,-0.02,2.86,44.333124 -71.566937,33.6,164.11,372,11,4.5,16.0,45.2,30,99,"AUTO",-8,1,-1024,7,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1475,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:45.070,34,0,100,0,0,19,100,36,100,14,100,20,100,20,0.45,0.01,2.87,44.333027 -71.566883,43.4,163.91,376,11,7.1,16.0,42.6,38,99,"AUTO",-4,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:46.070,36,0,100,0,0,19,100,38,100,14,100,20,100,20,0.48,0.02,2.87,44.332926 -71.566830,45.3,164.26,381,11,8.4,16.0,40.4,48,99,"AUTO",-2,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:47.070,40,0,100,0,0,19,100,43,100,13,100,20,100,20,0.46,0.00,2.87,44.332716 -71.566725,46.6,163.43,392,11,8.1,16.0,38.5,64,99,"AUTO",-2,1,-1024,7,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:48.070,42,0,100,0,0,19,100,44,100,13,100,20,100,20,0.41,-0.03,2.85,44.332608 -71.566672,49.2,164.07,398,11,7.3,16.0,37.8,71,99,"AUTO",-2,1,-1024,5,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:49.070,44,0,100,0,1,19,100,47,100,13,100,20,100,20,0.39,0.01,2.86,44.332378 -71.566559,52.1,164.27,409,12,7.2,16.0,37.3,79,99,"AUTO",-4,1,-1024,7,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:50.070,46,0,100,0,1,19,100,48,100,13,100,20,100,20,0.40,0.01,2.86,44.332264 -71.566506,52.5,164.43,414,12,7.3,16.1,31.2,94,98,"AUTO",-2,1,-1024,7,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:51.070,48,0,100,0,1,19,100,51,100,13,99,20,100,20,0.39,-0.01,2.86,44.332044 -71.566408,45.9,163.70,424,12,6.0,16.4,12.1,98,98,"AUTO",-2,1,-1024,7,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2023-04-27,18:04:52.070,50,0,100,0,0,19,100,51,100,13,99,20,100,20,0.03,-0.04,2.84,44.331938 -71.566361,48.8,162.87,425,12,-0.1,16.3,21.6,102,98,"AUTO",-2,1,-1024,5,-1024,-1024,-1,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
