,Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V),GPS_LAT,GPS_LON,HOME_GPS_LAT,HOME_GPS_LON,HOME_DIST
0,2023-03-22,13:58:36.380,21,0,100,0,0,19,10,23,100,13,100,20,100,10,0.09,0.05,-0.7,44.333124 -71.566879,1.3,31.95,379,9,0.0,16.8,0.5,12,99,FBWA,-23,0,-141,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,1416,1467,2012,988,988,1091,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.333124,-71.566879,44.333124,-71.566879,0.0
1,2023-03-22,13:58:37.300,19,0,100,0,0,19,10,22,100,15,100,20,100,10,0.02,0.05,-0.71,44.333123 -71.566880,0.3,31.91,378,9,0.0,16.8,1.8,12,99,FBWA,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1091,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.333123,-71.56688,44.333124,-71.566879,0.13671271024297235
2,2023-03-22,13:58:38.300,19,0,100,0,0,19,10,21,100,13,100,20,100,10,0.04,0.04,-0.73,44.333120 -71.566883,0.8,31.79,378,10,0.2,16.8,0.5,12,99,FBWA,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1091,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.33312,-71.566883,44.333124,-71.566879,0.5468508456926483
3,2023-03-22,13:58:39.300,20,0,100,0,0,19,10,23,100,13,100,20,100,10,0.04,0.02,-0.65,44.333120 -71.566884,0.4,32.24,378,10,0.0,16.8,0.5,13,99,FBWA,-2,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.33312,-71.566884,44.333124,-71.566879,0.5966408732197415
4,2023-03-22,13:58:40.300,20,0,100,0,0,19,10,20,100,14,100,20,100,10,0.05,0.04,-0.65,44.333118 -71.566883,0.2,32.26,379,9,0.2,16.8,0.5,13,99,AUTO,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.333118,-71.566883,44.333124,-71.566879,0.7391428043242358
5,2023-03-22,13:58:41.300,44,0,100,0,1,19,10,32,100,13,100,20,100,10,0.06,0.03,-0.46,44.333117 -71.566883,0.4,-32.19,378,9,0.1,16.8,0.5,13,99,AUTO,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.333117,-71.566883,44.333124,-71.566879,0.8408734379800276
6,2023-03-22,13:58:42.300,45,0,100,0,1,19,10,39,100,15,100,20,100,10,0.15,0.13,-3.1,44.333064 -71.566879,32.2,18.2,378,10,-1.7,16.2,41.0,19,99,AUTO,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.333064,-71.566879,44.333124,-71.566879,6.671695598175154
7,2023-03-22,13:58:43.300,37,0,100,0,1,19,10,42,100,13,100,20,100,10,0.29,0.0,-2.99,44.332940 -71.566900,39.8,18.86,378,10,1.7,16.1,39.7,30,99,AUTO,-2,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.33294,-71.5669,44.333124,-71.566879,20.527930620503934
8,2023-03-22,13:58:44.300,42,0,100,0,0,19,10,46,100,15,100,20,100,10,0.34,-0.01,-2.98,44.332787 -71.566940,48.6,18.56,380,10,1.5,16.1,37.3,40,99,AUTO,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.332787,-71.56694,44.333124,-71.566879,37.78547202822251
9,2023-03-22,13:58:45.300,44,0,100,0,0,19,10,47,100,14,100,20,100,10,0.42,-0.23,-3.12,44.332623 -71.566977,49.3,18.09,387,10,5.6,16.1,36.0,51,99,AUTO,-4,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,988,988,1500,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9,44.332623,-71.566977,44.333124,-71.566879,56.2513158874303
